variable,label,labelLong,section,subject,variableType,units,databaseStart,variableStart
mhr_106b,Sixth prescription medication - time last taken,Sixth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_106B, [mhr_106b]"
mhr_107b,Seventh prescription medication - time last taken,Seventh prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_107B, [mhr_107b]"
mhr_108b,Eighth prescription medication - time last taken,Eighth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_108B, [mhr_108b]"
mhr_109b,Ninth prescription medication - time last taken,Ninth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_109B, [mhr_109b]"
mhr_110b,Tenth prescription medication - time last taken,Tenth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_110B, [mhr_110b]"
mhr_111b,Eleventh prescription medication - time last taken,Eleventh prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_111B, [mhr_111b]"
mhr_112b,Twelfth prescription medication - time last taken,Twelfth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_112B, [mhr_112b]"
mhr_113b,Thirteenth prescription medication - time last taken,Thirteenth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_113B, [mhr_113b]"
mhr_114b,Fourteenth prescription medication - time last taken,Fourteenth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_114B, [mhr_114b]"
mhr_115b,Fifteenth prescription medication - time last taken,Fifteenth prescription medication - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_115B, [mhr_115b]"
mhr_131b,First new prescription meds - time last taken,First new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_131B, [mhr_131b]"
mhr_132b,Second new prescription meds - time last taken,Second new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_132B, [mhr_132b]"
mhr_133b,Third new prescription meds - time last taken,Third new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_133B, [mhr_133b]"
mhr_134b,Fourth new prescription meds - time last taken,Fourth new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_134B, [mhr_134b]"
mhr_135b,Fifteenth new prescription meds - time last taken,Fifteenth new prescription meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_135B, [mhr_135b]"
mhr_201b,First over-the-counter meds - time last taken,First over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_201B, [mhr_201b]"
mhr_202b,Second over-the-counter meds - time last taken,Second over-the-counter meds - time last taken,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds","cycle1_meds::MHR_202B, [mhr_202b]"
